Mercados y Plazas Comerciales,,,,,,,,
Unidad,Nombre Unidad,Zona Coplademun,Nombre,Ubicación,Tipo,Descripción Tipo,Clase,Descripción Clase
300,Puerta del Bosque  (antes Lomas de Santa Ana Tepetitlán),7,Tienen un supermercado anexo a la colonia,,,Desconocido,,Desconocido
301,Puerta del Sol,5B,Plaza,Naciones Unidas N° 6229,3,Plaza Comercial,2,Privado
301,Puerta del Sol,5B,Plaza,Naciones Unidas y Paseo Amanecer,3,Plaza Comercial,2,Privado
303,Rancho El Centinela,3,Inexistente,,99,NINGUNO,99,NINGUNO
304,Rancho el Sol (ó Placita del Sol),3,- Inexistente -,,99,NINGUNO,99,NINGUNO
308,Real Vallarta,5A,Ninguno,,,Desconocido,,Desconocido
309,"Rehilete, El",7,Inexistente,,99,NINGUNO,99,NINGUNO
310,Residencial Arboledas,6,Plaza Comercial,Av. López Mateos y Pedro Simón La Place,3,Plaza Comercial,1,Público
311,Residencial Ciudad de los Niños,5A,Inexistente,,99,NINGUNO,99,NINGUNO
312,Residencial Cordilleras,5A,Plaza Marquesa,Manuel J. Clouthier y San Juan de Letrán,3,Plaza Comercial,2,Privado
312,Residencial Cordilleras,5A,Plaza Beethoven,"Doctores No. 390, esq. San Juan Letrán",3,Plaza Comercial,2,Privado
314,Residencial del Bosque,8,Inexistente,,99,NINGUNO,99,NINGUNO
315,Residencial Guadalupe,5A,Inexistente,,99,NINGUNO,99,NINGUNO
318,Residencial Moctezuma,6,Plaza Moctezuma,Moctezuma Nº 5656,3,Plaza Comercial,2,Privado
319,Residencial Moctezuma Poniente,6,- Inexistente -,,99,NINGUNO,99,NINGUNO
321,Residencial Patria,1B,Tienda de autoservicios Wall Mart,Avila Camacho y San Jorge,1,Mercado,,Desconocido
322,Residencial Plaza Guadalupe,5A,Tianguis del Sol,Av. Moctezuma,1,Mercado,1,Público
322,Residencial Plaza Guadalupe,5A,Plaza Guadalupe,"Av. Nicolás Copernico Nº 3280, Tel. 36281656, Administrador Luisa Fernanda Martínez Batalla",2,Centro Comercial,2,Privado
322,Residencial Plaza Guadalupe,5A,Plaza San Esteban,Nicolás Copernico Nº 467,3,Plaza Comercial,2,Privado
324,Residencial Victoria,6,Plaza Coral,Lapizlatzuli y Perla,3,Plaza Comercial,2,Privado
324,Residencial Victoria,6,Plaza Turqueza del Sol,"Mariano Otero Nº 1917, 33446114, Administrador Jesús Carlos Cebreros Salazar",3,Plaza Comercial,2,Privado
325,Rinconada del Auditorio,2A,-Inexistente-,,99,NINGUNO,99,NINGUNO
327,Rinconada Del Iris,8,Inexistente,,99,NINGUNO,99,NINGUNO
329,Rinconada del Sol,6,Condo Plaza del Sol,"Av. del Sol Nº 25, Tel. 31229311, Administrador Lic. Alberto David Camacho Espinoza.",2,Centro Comercial,2,Privado
330,Rinconada La Azalea,1B,-Inexistente-,,99,NINGUNO,99,NINGUNO
331,Rinconada del Valle,5A,Inexistente,,99,NINGUNO,99,NINGUNO
332,Rinconada de la Calma,6,Abastos,Conchitas y Cruz del Sur,1,Mercado,2,Privado
332,Rinconada de la Calma,6,las Palmas,Cruz del Sur y ]Sierre de Tapalpa,3,Plaza Comercial,2,Privado
332,Rinconada de la Calma,6,Plaza Cruz del Sur,Cruz del Sur Nº 3450,3,Plaza Comercial,2,Privado
