DECOMISOS,,,,,,,,,,,
VEGETAL VERDE (GRS.),,,,,,,,,,,
,,,,,,,,,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,106,111,74,65,72,83,,,,,
,,,,,TOTAL    2004-2006,,,"3,677",,,
,,,,,,,,,,,
2007,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,50,58,62,67,65,73,,759,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,74,62,52,72,55,69,,,,,
,,,,,,,,,,,
2008,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,50,32,47,61,45,33,,533,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,39,57,53,43,34,39,,,,,
,,,,,,,,,,,
2009,ENE,FEB,MAR,ABR,MAY,JUN,,ANUAL,,,
,47,65,74,52,51,62,,668,,,
,JUL,AGO,SEP,OCT,NOV,DIC,,,,,
,63,65,54,44,48,43,,,,,
,,,,,,,,,,,
,,,,,,,,,FALSE,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
